0	3.2102920899890904E+01	1.1395967897933913E-02
1	3.2112015406816518E+01	1.1389089101858445E-02
2	2.9786223267919517E+01	1.0986291857618426E-02
3	1.0686126872280829E+01	6.8538684243327902E-03
4	3.2297497765975008E-01	2.2687408829409868E-03
5	3.3064680741406949E-01	2.2108985401715869E-03
6	4.7111051811294424E-01	1.6476152296873395E-03
7	5.9960495330434771E-01	1.2431917462734847E-03
8	6.1202838546750959E-01	1.0214982111801426E-03
9	6.2016348830907120E-01	9.0273080016409722E-04
10	6.1035828894906208E-01	8.7995448434714102E-04
11	5.2566490817166511E-01	5.0329278090892240E-04
12	5.2031428056301932E-01	4.5908790437594577E-04
13	5.1667701428991875E-01	4.5458906489144013E-04
14	5.0216313702944537E-01	4.3433225596152021E-04
15	4.9576918563172795E-01	4.2934859438262924E-04
16	3.4069203793948083E-01	2.8399841206835723E-04
17	3.3769019477877543E-01	2.7414980962526923E-04
18	3.3419658602107455E-01	2.7061144503947318E-04
19	3.2051738643164646E-01	2.6080735253871881E-04
20	3.0940706610534335E-01	2.5414663537471754E-04
21	2.4267203505125021E-01	2.0628376598052494E-04
22	2.4137924069192424E-01	2.0505938087870569E-04
23	2.3314829737668652E-01	1.9847637815656723E-04
24	1.8713386707065111E-01	1.6172707403337887E-04
25	1.7107892559580223E-01	1.4464917602796849E-04
26	1.5094520419921589E-01	1.1410554866252193E-04
27	1.5046754029225889E-01	1.1340399018930553E-04
28	1.4872824848321681E-01	1.1160473730959525E-04
29	1.4194265335270193E-01	1.0441257879437345E-04
30	1.4071664336741410E-01	1.0335219783798931E-04
31	1.3761171491281837E-01	1.0029909914020135E-04
32	1.3718270502693178E-01	1.0002347762870936E-04
33	1.2259131147221893E-01	9.0723870661338523E-05
34	9.7899347053570576E-02	7.0186939640158618E-05
35	9.5607906388393171E-02	6.7872962371103845E-05
36	9.0379794321948717E-02	6.1879117930773282E-05
37	9.0067123230182039E-02	6.1574770433379505E-05
38	8.4169250262576198E-02	5.5767140145371331E-05
39	7.8680411109169873E-02	5.0638040484809311E-05
80	7.8669399566726375E-02	5.0385915826876913E-05
82	7.8616053221228596E-02	5.0165446514915338E-05
84	7.8381639565591341E-02	4.9180654862693701E-05
86	7.8059027799202388E-02	4.8255481358175587E-05
88	7.6471482204433533E-02	4.5255303692856432E-05
90	7.6192611675172370E-02	4.4766778016952910E-05
92	7.5623297317120863E-02	4.4088473092431097E-05
94	7.4650704194230505E-02	4.2926803406046113E-05
96	7.3548714105552290E-02	4.1664688704595211E-05
98	7.1333356358704456E-02	3.9176678998439931E-05
100	7.1182324067818534E-02	3.9003262770191612E-05
102	7.0202305720976799E-02	3.8356213477100367E-05
104	6.8641804156506128E-02	3.7414511678765464E-05
106	6.7929124293009777E-02	3.7049657431760145E-05
108	6.6723420119992188E-02	3.6289301619341243E-05
110	6.6557499999007647E-02	3.6216137960017712E-05
112	6.3110872635003576E-02	3.4803769894582269E-05
114	6.1325779380311002E-02	3.4058111396413291E-05
116	6.0607400095865085E-02	3.3788656779777518E-05
118	5.9697657590957784E-02	3.3416183668174595E-05
120	5.9404692801228808E-02	3.3311121748816344E-05
122	5.3183373799763525E-02	3.1040111414680746E-05
124	5.2354705169462855E-02	3.0632268945060450E-05
126	5.1742467183961451E-02	3.0353770277504787E-05
128	5.0108374121525863E-02	2.9783535722327755E-05
130	4.8509006852860428E-02	2.9255477063679244E-05
132	3.2816471602353549E-02	2.2474351578179762E-05
134	3.1983843182184134E-02	2.2010447814223523E-05
136	3.0648750399446884E-02	2.1074431056213779E-05
138	2.4932801459462986E-02	1.7912974976165927E-05
140	2.2084464102032731E-02	1.5828763109492157E-05
142	1.8303841204918510E-02	1.2091211382622670E-05
144	1.8066082508499122E-02	1.1564885203502233E-05
